ID_Account;EconomicActivity;ID_Customer;Nperiods;minStartDate;minStartDate_Year;CAE
191997670041;CONSTR;1919976;9;30.03.2009;2009;45201
191997670042;CONSTR;1919976;9;30.03.2009;2009;45201
191997670043;CONSTR;1919976;9;30.03.2009;2009;45201
191997670044;CONSTR;1919976;9;30.03.2009;2009;45201
191997670045;CONSTR;1919976;10;09.04.2009;2009;45201
191997670046;CONSTR;1919976;10;13.04.2009;2009;45201
191997670047;CONSTR;1919976;10;16.04.2009;2009;45201
191997670048;CONSTR;1919976;15;29.04.2009;2009;45201
191997672001;CONSTR;1919976;32;17.08.2009;2009;45201
191997672002;CONSTR;1919976;32;17.08.2009;2009;45201
191997672003;CONSTR;1919976;36;03.12.2009;2009;45201
208609540002;IND EXTRACT;2086095;5;23.06.2009;2009;11100
217872215002;SERV;2178722;41;03.01.2009;2009;64200
217872270002;SERV;2178722;78;29.12.2009;2009;64200
218769170003;CONSTR;2187691;25;28.10.2009;2009;45201
222823415001;CONSTR;2228234;31;27.10.2009;2009;45201
222823470002;CONSTR;2228234;31;30.01.2009;2009;45201
222823470003;CONSTR;2228234;64;30.10.2009;2009;45201
241755040001;CONSTR;2417550;10;03.11.2009;2009;45201
265229672001;IND TRANSF;2652296;34;05.10.2009;2009;40101
316547470004;CONSTR;3165474;17;29.05.2009;2009;45100
316547472001;CONSTR;3165474;38;20.08.2009;2009;45100
317009209001;COMER;3170092;8;27.11.2009;2009;52111
388993470002;IND TRANSF;3889934;20;28.08.2009;2009;36990
390213470001;COMER;3902134;17;16.12.2009;2009;51900
390213472001;COMER;3902134;16;21.10.2009;2009;51900
404143870001;COMER;4041438;28;20.05.2009;2009;51900
436689472001;COMER;4366894;15;07.12.2009;2009;52530
471731310001;COMER;4717313;13;29.10.2009;2009;51900
488021072001;SERV;4880210;71;14.09.2009;2009;45202
488628970001;CONSTR;4886289;11;10.06.2009;2009;45201
521390972001;COMER;5213909;52;09.09.2009;2009;51900
529004070001;SERV;5290040;15;14.10.2009;2009;64200
538809310001;SERV;5388093;2;28.01.2009;2009;93040
556768570001;COMER;5567685;7;17.08.2009;2009;51900
571716710002;COMER;5717167;4;01.11.2009;2009;51900
577498740003;COMER;5774987;3;19.10.2009;2009;51325
652125810001;CONSTR;6521258;2;27.12.2009;2009;45201
652125870001;CONSTR;6521258;2;05.08.2009;2009;45201
758581440002;CONSTR;7585814;40;02.10.2009;2009;45301
778719270001;SERV;7787192;10;24.06.2009;2009;61100
833169340002;IND EXTRACT;8331693;46;10.08.2009;2009;13202
856805072001;CONSTR;8568050;22;28.10.2009;2009;45201
